Context Document Set,Context Document,Question,Ground Truth Answer,ctrl_panel_answer,Label,Critique,Fence,llamatrace_trace_url
BOOO Set 2,hmail1.pdf,What is the company's latest net burn rate?,The net burn rate is $6k per month.,"I'm sorry, but I don't have the information regarding the company's latest net burn rate.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/b933e8027602285b9e3c0cd4112d7640
BOOO Set 2,hmail1.pdf,What is the company's latest net burn rate?,The net burn rate is $6k per month.,"I'm sorry, but there is no information available regarding the company's latest net burn rate.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/841d3026413db7b808a2feef02e9149c
BOOO Set 2,hmail1.pdf,What is the company's latest net burn rate?,The net burn rate is $6k per month.,"I'm sorry, but I don't have the information regarding the company's latest net burn rate.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/f7ccb0047841f6c835ee803739779818
BOOO Set 2,hmail1.pdf,What is the latest on Halluminate's cash in bank?,Halluminate has $60k in the bank,"The latest information does not provide specific details about Halluminate's cash in the bank. However, it mentions that Halluminate has successfully filled its angel round of funding.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/3c170065a48805a9c5b7bb7086ebeee3
BOOO Set 2,hmail1.pdf,What is the latest on Halluminate's cash in bank?,Halluminate has $60k in the bank,"The latest information available does not provide specific details about Halluminate's cash in the bank. However, it mentions that Halluminate has successfully filled its angel round of funding.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/56d6909ca7d427386bbe86a8a9ae15e6
BOOO Set 2,hmail1.pdf,What is the latest on Halluminate's cash in bank?,Halluminate has $60k in the bank,"The latest information available does not provide specific details about Halluminate's cash in bank. However, it mentions that Halluminate has successfully filled its angel round of funding.",FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/e1e4e73cf078aa57025222fb3e120660
BOOO Set 2,hmail1.pdf,What are the most recent asks from Halluminate?,"Halluminate seeks introductions to AI companies looking to hire AI engineers and intros to people who were at Palantir or with technology consulting firms like Accenture, Deloitte, IBM.",The most recent asks from Halluminate include expanding the number of early engineers testing their application to approximately 100 and potentially involving portco companies in their upcoming hackathon.,FAIL,pulls wrong timing context,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/ec175c3076be73db8346b2984a513ed5
BOOO Set 2,hmail1.pdf,What are the most recent asks from Halluminate?,"Halluminate seeks introductions to AI companies looking to hire AI engineers and intros to people who were at Palantir or with technology consulting firms like Accenture, Deloitte, IBM.",The most recent asks from Halluminate include expanding the number of early engineers testing their application to approximately 100 and inviting interested parties to participate in their upcoming hackathon.,FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/68738191ecaa95c6fd196454464da797
BOOO Set 2,hmail1.pdf,What are the most recent asks from Halluminate?,"Halluminate seeks introductions to AI companies looking to hire AI engineers and intros to people who were at Palantir or with technology consulting firms like Accenture, Deloitte, IBM.",The most recent asks from Halluminate include expanding the number of early engineers testing their application to approximately 100 and potentially involving portco companies in their upcoming hackathon.,FAIL,,FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/1c2a49045d7d56fea0164c0e6e049b7e
BOOO Set 2,hmail1.pdf,What are the company's primary goals for this upcoming month?,Halluminate aims to sign approximately two more contracts each with an ACV of about $10k,"The company's primary goals for this upcoming month are to complete a paid Proof-of-Concept (PoC) with the preferred supplier by the end of March 2025. This involves selected solution providers presenting their approach, discussing options for the PoC, and ensuring the PoC delivery is led by Plexal.",FAIL,"hallucination, pulls wrong info",FALSE,https://llamatrace.com/projects/UHJvamVjdDox/traces/30b5b46957a443cd2ad083b1c8402c25
